t`s	v(dout)`V	v(rst)`V
0	0.00089955	0
7.8125e-08	1.8	1.8
1.5625e-07	1.8e-14	0
2.34375e-07	1.8e-14	0
3.125e-07	1.8	0
3.90625e-07	1.8	0
4.6875e-07	1.8e-14	0
5.46875e-07	1.8e-14	0
6.25e-07	1.8	0
7.03125e-07	1.8	0
7.8125e-07	1.8e-14	0
8.59375e-07	1.8	0
9.375e-07	1.8e-14	0
1.01563e-06	1.8	0
1.09375e-06	1.8e-14	0
1.17188e-06	1.8	0
1.25e-06	1.8e-14	0
1.32813e-06	1.8	0
1.40625e-06	1.8	0
1.48438e-06	1.8e-14	0
1.5625e-06	1.8e-14	0
1.64063e-06	1.8	0
1.71875e-06	1.8	0
1.79688e-06	1.8	0
1.875e-06	1.8e-14	0
1.95313e-06	1.8e-14	0
2.03125e-06	1.8	0
2.10938e-06	1.8e-14	0
2.1875e-06	1.8	0
2.26563e-06	1.8	0
2.34375e-06	1.8	0
2.42187e-06	1.8e-14	0
2.5e-06	1.8e-14	0
2.57813e-06	1.8	0
2.65625e-06	1.8	0
2.73438e-06	1.8e-14	0
2.8125e-06	1.8	0
2.89063e-06	1.8e-14	0
2.96875e-06	1.8	0
3.04688e-06	1.8	0
3.125e-06	1.8e-14	0
3.20313e-06	1.8	0
3.28125e-06	1.8	0
3.35938e-06	1.8e-14	0
3.4375e-06	1.8e-14	0
3.51563e-06	1.8	0
3.59375e-06	1.8	0
3.67188e-06	1.8	0
3.75e-06	1.8	0
3.82813e-06	1.8e-14	0
3.90625e-06	1.8e-14	0
3.98438e-06	1.8	0
4.0625e-06	1.8	0
4.14063e-06	1.8e-14	0
4.21875e-06	1.8	0
4.29688e-06	1.8	0
4.375e-06	1.8e-14	0
4.45313e-06	1.8	0
4.53125e-06	1.8	0
4.60938e-06	1.8e-14	0
4.6875e-06	1.8	0
4.76563e-06	1.8	0
4.84375e-06	1.8e-14	0
4.92188e-06	1.8	0
5e-06	1.8	0
5.07813e-06	1.8e-14	0
5.15625e-06	1.8	0
5.23438e-06	1.8	0
5.3125e-06	1.8e-14	0
5.39063e-06	1.8	0
5.46875e-06	1.8	0
5.54688e-06	1.8e-14	0
5.625e-06	1.8	0
5.70313e-06	1.8	0
5.78125e-06	1.8e-14	0
5.85938e-06	1.8	0
5.9375e-06	1.8	0
6.01563e-06	1.8e-14	0
6.09375e-06	1.8	0
6.17188e-06	1.8	0
6.25e-06	1.8	0
6.32813e-06	1.8e-14	0
6.40625e-06	1.8	0
6.48438e-06	1.8	0
6.5625e-06	1.8e-14	0
6.64063e-06	1.8	0
6.71875e-06	1.8	0
6.79688e-06	1.8e-14	0
6.875e-06	1.8	0
6.95313e-06	1.8	0
7.03125e-06	1.8	0
7.10938e-06	1.8e-14	0
7.1875e-06	1.8	0
7.26563e-06	1.8	0
7.34375e-06	1.8e-14	0
7.42188e-06	1.8	0
7.5e-06	1.8	0
7.57813e-06	1.8	0
7.65625e-06	1.8e-14	0
7.73437e-06	1.8	0
7.8125e-06	1.8	0
7.89063e-06	1.8	0
7.96875e-06	1.8e-14	0
8.04688e-06	1.8	0
8.125e-06	1.8	0
8.20313e-06	1.8e-14	0
8.28125e-06	1.8	0
8.35937e-06	1.8	0
8.4375e-06	1.8	0
8.51563e-06	1.8e-14	0
8.59375e-06	1.8	0
8.67188e-06	1.8	0
8.75e-06	1.8	0
8.82813e-06	1.8e-14	0
8.90625e-06	1.8	0
8.98438e-06	1.8	0
9.0625e-06	1.8e-14	0
9.14063e-06	1.8	0
9.21875e-06	1.8	0
9.29688e-06	1.8	0
9.375e-06	1.8	0
9.45313e-06	1.8e-14	0
9.53125e-06	1.8	0
9.60938e-06	1.8	0
9.6875e-06	1.8e-14	0
9.76563e-06	1.8	0
9.84375e-06	1.8	0
9.92188e-06	1.8	0
1e-05	1.8	0
1.00781e-05	1.8	1.8
1.01563e-05	1.8	0
1.02344e-05	1.8e-14	0
1.03125e-05	1.8	0
1.03906e-05	1.8	0
1.04688e-05	1.8e-14	0
1.05469e-05	1.8	0
1.0625e-05	1.8	0
1.07031e-05	1.8	0
1.07813e-05	1.8	0
1.08594e-05	1.8e-14	0
1.09375e-05	1.8	0
1.10156e-05	1.8	0
1.10938e-05	1.8e-14	0
1.11719e-05	1.8	0
1.125e-05	1.8	0
1.13281e-05	1.8	0
1.14063e-05	1.8	0
1.14844e-05	1.8e-14	0
1.15625e-05	1.8	0
1.16406e-05	1.8	0
1.17188e-05	1.8e-14	0
1.17969e-05	1.8	0
1.1875e-05	1.8	0
1.19531e-05	1.8	0
1.20313e-05	1.8	0
1.21094e-05	1.8e-14	0
1.21875e-05	1.8	0
1.22656e-05	1.8e-14	0
1.23438e-05	1.8	0
1.24219e-05	1.8	0
1.25e-05	1.8	0
1.25781e-05	1.8	0
1.26563e-05	1.8	0
1.27344e-05	1.8e-14	0
1.28125e-05	1.8	0
1.28906e-05	1.8	0
1.29688e-05	1.8e-14	0
1.30469e-05	1.8	0
1.3125e-05	1.8	0
1.32031e-05	1.8	0
1.32813e-05	1.8e-14	0
1.33594e-05	1.8	0
1.34375e-05	1.8	0
1.35156e-05	1.8e-14	0
1.35938e-05	1.8	0
1.36719e-05	1.8	0
1.375e-05	1.8	0
1.38281e-05	1.8	0
1.39063e-05	1.8e-14	0
1.39844e-05	1.8	0
1.40625e-05	1.8	0
1.41406e-05	1.8e-14	0
1.42188e-05	1.8	0
1.42969e-05	1.8	0
1.4375e-05	1.8e-14	0
1.44531e-05	1.8	0
1.45313e-05	1.8	0
1.46094e-05	1.8	0
1.46875e-05	1.8e-14	0
1.47656e-05	1.8	0
1.48438e-05	1.8	0
1.49219e-05	1.8	0
1.5e-05	1.8e-14	0
1.50781e-05	1.8	0
1.51563e-05	1.8	0
1.52344e-05	1.8e-14	0
1.53125e-05	1.8	0
1.53906e-05	1.8	0
1.54687e-05	1.8e-14	0
1.55469e-05	1.8	0
1.5625e-05	1.8	0
1.57031e-05	1.8e-14	0
1.57813e-05	1.8	0
1.58594e-05	1.8	0
1.59375e-05	1.8	0
1.60156e-05	1.8e-14	0
1.60938e-05	1.8	0
1.61719e-05	1.8	0
1.625e-05	1.8e-14	0
1.63281e-05	1.8	0
1.64063e-05	1.8e-14	0
1.64844e-05	1.8	0
1.65625e-05	1.8	0
1.66406e-05	1.8	0
1.67187e-05	1.8	0
1.67969e-05	1.8e-14	0
1.6875e-05	1.8e-14	0
1.69531e-05	1.8	0
1.70313e-05	1.8	0
1.71094e-05	1.8	0
1.71875e-05	1.8e-14	0
1.72656e-05	1.8	0
1.73438e-05	1.8	0
1.74219e-05	1.8e-14	0
1.75e-05	1.8	0
1.75781e-05	1.8e-14	0
1.76563e-05	1.8	0
1.77344e-05	1.8	0
1.78125e-05	1.8	0
1.78906e-05	1.8e-14	0
1.79688e-05	1.8e-14	0
1.80469e-05	1.8	0
1.8125e-05	1.8	0
1.82031e-05	1.8	0
1.82813e-05	1.8e-14	0
1.83594e-05	1.8	0
1.84375e-05	1.8e-14	0
1.85156e-05	1.8	0
1.85938e-05	1.8	0
1.86719e-05	1.8e-14	0
1.875e-05	1.8	0
1.88281e-05	1.8e-14	0
1.89063e-05	1.8	0
1.89844e-05	1.8	0
1.90625e-05	1.8e-14	0
1.91406e-05	1.8	0
1.92188e-05	1.8e-14	0
1.92969e-05	1.8	0
1.9375e-05	1.8	0
1.94531e-05	1.8e-14	0
1.95313e-05	1.8	0
1.96094e-05	1.8e-14	0
1.96875e-05	1.8	0
1.97656e-05	1.8e-14	0
1.98438e-05	1.8	0
1.99219e-05	1.8	0
2e-05	1.8e-14	0
2.00781e-05	1.8	1.8
2.01563e-05	1.8e-14	0
2.02344e-05	1.8e-14	0
2.03125e-05	1.8	0
2.03906e-05	1.8	0
2.04688e-05	1.8	0
2.05469e-05	1.8e-14	0
2.0625e-05	1.8e-14	0
2.07031e-05	1.8	0
2.07813e-05	1.8e-14	0
2.08594e-05	1.8	0
2.09375e-05	1.8	0
2.10156e-05	1.8e-14	0
2.10938e-05	1.8	0
2.11719e-05	1.8e-14	0
2.125e-05	1.8e-14	0
2.13281e-05	1.8	0
2.14063e-05	1.8	0
2.14844e-05	1.8e-14	0
2.15625e-05	1.8	0
2.16406e-05	1.8e-14	0
2.17188e-05	1.8	0
2.17969e-05	1.8e-14	0
2.1875e-05	1.8e-14	0
2.19531e-05	1.8	0
2.20313e-05	1.8	0
2.21094e-05	1.8e-14	0
2.21875e-05	1.8	0
2.22656e-05	1.8e-14	0
2.23438e-05	1.8	0
2.24219e-05	1.8e-14	0
2.25e-05	1.8e-14	0
2.25781e-05	1.8	0
2.26563e-05	1.8	0
2.27344e-05	1.8e-14	0
2.28125e-05	1.8e-14	0
2.28906e-05	1.8	0
2.29688e-05	1.8e-14	0
2.30469e-05	1.8	0
2.3125e-05	1.8e-14	0
2.32031e-05	1.8	0
2.32813e-05	1.8e-14	0
2.33594e-05	1.8e-14	0
2.34375e-05	1.8	0
2.35156e-05	1.8	0
2.35938e-05	1.8e-14	0
2.36719e-05	1.8e-14	0
2.375e-05	1.8e-14	0
2.38281e-05	1.8	0
2.39063e-05	1.8	0
2.39844e-05	1.8e-14	0
2.40625e-05	1.8e-14	0
2.41406e-05	1.8	0
2.42188e-05	1.8e-14	0
2.42969e-05	1.8	0
2.4375e-05	1.8e-14	0
2.44531e-05	1.8	0
2.45313e-05	1.8e-14	0
2.46094e-05	1.8e-14	0
2.46875e-05	1.8e-14	0
2.47656e-05	1.8	0
2.48438e-05	1.8	0
2.49219e-05	1.8e-14	0
2.5e-05	1.8e-14	0
2.50781e-05	1.8e-14	0
2.51563e-05	1.8	0
2.52344e-05	1.8	0
2.53125e-05	1.8e-14	0
2.53906e-05	1.8e-14	0
2.54688e-05	1.8e-14	0
2.55469e-05	1.8	0
2.5625e-05	1.8e-14	0
2.57031e-05	1.8e-14	0
2.57813e-05	1.8	0
2.58594e-05	1.8	0
2.59375e-05	1.8e-14	0
2.60156e-05	1.8e-14	0
2.60938e-05	1.8e-14	0
2.61719e-05	1.8e-14	0
2.625e-05	1.8	0
2.63281e-05	1.8	0
2.64063e-05	1.8e-14	0
2.64844e-05	1.8e-14	0
2.65625e-05	1.8e-14	0
2.66406e-05	1.8	0
2.67188e-05	1.8e-14	0
2.67969e-05	1.8e-14	0
2.6875e-05	1.8	0
2.69531e-05	1.8e-14	0
2.70313e-05	1.8	0
2.71094e-05	1.8e-14	0
2.71875e-05	1.8e-14	0
2.72656e-05	1.8e-14	0
2.73438e-05	1.8e-14	0
2.74219e-05	1.8	0
2.75e-05	1.8	0
2.75781e-05	1.8e-14	0
2.76563e-05	1.8e-14	0
2.77344e-05	1.8e-14	0
2.78125e-05	1.8e-14	0
2.78906e-05	1.8	0
2.79688e-05	1.8e-14	0
2.80469e-05	1.8	0
2.8125e-05	1.8e-14	0
2.82031e-05	1.8e-14	0
2.82813e-05	1.8e-14	0
2.83594e-05	1.8	0
2.84375e-05	1.8e-14	0
2.85156e-05	1.8e-14	0
2.85938e-05	1.8	0
2.86719e-05	1.8e-14	0
2.875e-05	1.8e-14	0
2.88281e-05	1.8e-14	0
2.89063e-05	1.8	0
2.89844e-05	1.8e-14	0
2.90625e-05	1.8e-14	0
2.91406e-05	1.8e-14	0
2.92188e-05	1.8	0
2.92969e-05	1.8e-14	0
2.9375e-05	1.8	0
2.94531e-05	1.8e-14	0
2.95313e-05	1.8e-14	0
2.96094e-05	1.8e-14	0
2.96875e-05	1.8e-14	0
